Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1CukLFTHUU14jP0aCImrgs,"7e10JUMF7MJmmwYpnTSMI5","Above Water","Above Water","Dave East",2023-03-24,171000,0,spotify:user:,2023-03-24T04:00:00Z,"gangster rap,harlem hip hop,hip hop,nyc rap,pop rap,rap,southern hip hop,trap,underground hip hop",0.597,0.863,7,-7.371,1,0.363,0.0493,0,0.295,0.829,80.316,4
03gTp2zMOTL36xDsfzgJlh,"2AfU5LYBVCiCtuCCfM7uVX,5v0XTlB9FqNvfBfnw8n5b0","High Noon","To See A Sunset","Kota the Friend,Statik Selektah",2023-03-24,184847,0,spotify:user:,2023-03-24T04:00:00Z,"hip hop,rap,underground hip hop,alternative hip hop,boom bap,boston hip hop,hardcore hip hop",0.524,0.799,8,-7.25,1,0.277,0.0643,0,0.243,0.757,82.09,4
0IVrmgdiC3RdRHXVZbYtw5,"1TlmLsx42aT281z8NWrKef,7azVk8ZXv1yB4rOmPMZvUD","Optical Illusions","Optical Illusions","DillanPonders,BVB",2023-03-22,193253,16,spotify:user:,2023-03-24T04:00:00Z,"canadian hip hop,canadian trap,underground hip hop,indie hip hop",0.801,0.513,11,-7.466,0,0.124,0.032,0.00013,0.0902,0.248,80.743,4
7LFN9ERrNzpsVg5BYcJCqt,"6fKiutMtRIcxi4zEau0BuI","Problem","Problem","Big Boss Vette",2023-03-23,144927,0,spotify:user:,2023-03-24T04:00:00Z,"trap queen,viral rap",0.87,0.819,2,-3.925,1,0.323,0.0255,0.00178,0.0789,0.405,161.018,4
4ZB1XkV5RBj7fGcPfNCRDb,"0XJA8RpM6VgQeIYzjnP8wK,6o4O5GX5kOWAGXtZUedxo3","Move (Remix) (with KenTheMan)","Move (Remix)","Connie Diiamond,KenTheMan",2023-03-24,170370,0,spotify:user:,2023-03-24T04:00:00Z,"escape room,trap queen,alternative r&b,houston rap,pop r&b,viral rap",0.702,0.814,1,-7.989,1,0.383,0.0481,0,0.163,0.741,161.785,4
1jCZy2BqlnxOrKdEBqmSIK,"2MjVr5NjCCoPSEkXnl92Ld,0GGKrcPOlBkmBzQDf2Ogkl","Don't Lie (feat. Kuami Eugene)","Just to Piss You Off","Kofi,Kuami Eugene",2023-03-24,170232,0,spotify:user:,2023-03-24T04:00:00Z,"canadian hip hop,lovers rock,asakaa,azontobeats",0.613,0.328,6,-11.673,0,0.484,0.122,0.000781,0.0937,0.434,85.521,4
3AzmPUPk59zgO3XURjGJ8R,"2NfwGBr2swqZ1rzE3kAV23","1-800-Bad-Bxtch","1-800-Bad-Bxtch","Saucy Santana",2023-03-24,154691,0,spotify:user:,2023-03-24T04:00:00Z,"trap queen,viral rap",0.846,0.711,2,-4.043,1,0.2,0.00497,0,0.0793,0.656,93.937,4
487hvKP1ZB9LnaimqxNezp,"75idTho2H32dlquJKSarJe,6q2peHL8h2vUGvWNbsIjii","Members","Members","Bunlo,Payroll Giovanni",2023-03-23,164355,0,spotify:user:,2023-03-24T04:00:00Z,"detroit trap",0.895,0.59,8,-8.638,1,0.364,0.125,0,0.109,0.266,105.055,4
4s9jU8Krr0ICOhOF7JoBGX,"1FvjvACFvko2Z91IvDljrx,1CRTa2b81vACLSOWujVMbk","The Truth","The Truth","Mick Jenkins,Deep Thought",2023-03-24,180000,0,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,chicago rap,conscious hip hop,drill,hip hop,rap,underground hip hop",0.411,0.572,7,-10.77,1,0.374,0.0657,0.00644,0.373,0.298,101.35,4
5c5Jkj5WUgkfTF0X6me831,"5Jw6zr5U4jNtFzDQvtjNSH","The Precipice","The Precipice","WISE",2023-03-24,145000,0,spotify:user:,2023-03-24T04:00:00Z,"canadian hip hop,toronto rap",0.711,0.735,8,-8.46,1,0.291,0.382,0,0.104,0.518,126.354,5
5L0QxWi5Jo4gjw4yHR0kP1,"6yJ6QQ3Y5l0s0tn7b0arrO,7aA592KWirLsnfb5ulGWvU","SCARING THE HOES","SCARING THE HOES","JPEGMAFIA,Danny Brown",2023-03-21,142825,58,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,escape room,experimental hip hop,hip hop,industrial hip hop,rap,underground hip hop,detroit hip hop",0.552,0.996,7,2.343,1,0.103,0.244,0.0000028,0.362,0.689,133.058,4
4nZ4aGaAixvW9D7TethGee,"6rIaHuCIUu32uj2CjlEBN3,46fHMu9KxdQwcGV9xI1L9R","KISS N' TELL (feat. Dro Kenji)","KISS N' TELL (feat. Dro Kenji)","Mike Dimes,Dro Kenji",2023-03-24,126058,0,spotify:user:,2023-03-24T04:00:00Z,"rap,underground hip hop,viral rap,sad rap,vapor trap",0.716,0.66,6,-6.711,0,0.0813,0.261,0,0.312,0.49,149.975,4
1GyoJBAjrIkVkPdcl7yCn3,"1jBoSSrbz9n4ehQWA4cZgB,4r63FhuTkUYltbVAg5TQnk","Hate It or Love It (with DaBaby)","Hate It or Love It (with DaBaby)","Rob49,DaBaby",2023-03-22,136833,36,spotify:user:,2023-03-24T04:00:00Z,"north carolina hip hop,rap,trap",0.799,0.762,1,-4.834,1,0.382,0.0264,0,0.0843,0.735,156.948,4
6TMwCGsTOlt796wpmiFIt7,"1grN0519h2zYqpRtYbDZAl,0eVyjRhzZKke2KFYTcDkeu,0c173mlxpT3dSFRgMO8XPh","Palisades, CA","Palisades, CA","Larry June,The Alchemist,Big Sean",2023-03-22,192226,43,spotify:user:,2023-03-24T04:00:00Z,"cali rap,hip hop,alternative hip hop,rap,west coast rap,detroit hip hop,pop,pop rap,r&b,southern hip hop,trap",0.726,0.746,5,-8.74,0,0.283,0.0887,0.000558,0.382,0.692,129.99,4
1xMZya9eNmNbchdwQACfoP,"6DXbnRlv1UgusrKOxc39j7","Different Cloth","Different Cloth","Lindasson",2023-03-23,137142,0,spotify:user:,2023-03-24T04:00:00Z,"canadian trap",0.851,0.607,10,-8.908,0,0.281,0.385,0,0.142,0.593,126.034,4
22AmDuCepmnwIVF0WHz3uw,"5tHiL8SKSaZGMBUPIiSmX4,369T15zvlCiF4zAzdZNhQL,53EHeXzGs4HheTCTnwfPEr","Baby","Baby","KitschKrieg,Arz,SFR",2023-03-23,199388,0,spotify:user:,2023-03-24T04:00:00Z,"german hip hop,hamburg hip hop,chill drill,melodic drill",0.877,0.84,7,-9.249,1,0.223,0.179,0.00000114,0.704,0.885,131.883,4
4oTG7A2xcJHdBM7671td9p,"3BYzEWh3pY0DZpMN0hFufv","Temperatures Rise","Temperatures Rise","Chaz French",2023-03-22,168362,2,spotify:user:,2023-03-24T04:00:00Z,"dmv rap",0.647,0.652,8,-6.922,0,0.178,0.136,0,0.12,0.18,136.86,4
0bc3I3fYeyHj6dyEaaV2ga,"0G57ms4DD5dn6wXwuFOLdO,6fxyWrfmjcbj5d12gXeiNV","Lady Draco","Lady Draco","Twelve'len,Denzel Curry",2023-03-22,139668,45,spotify:user:,2023-03-24T04:00:00Z,"miami hip hop,dark trap,drill,hip hop,rap,underground hip hop",0.818,0.539,11,-10.553,1,0.147,0.345,0.00326,0.302,0.619,143.608,4
6qBAhW4zN4l7BzjkfT8bqD,"0LAurKItZ2c5kltNoRMtKq,3O7mUqVuHmLJqHXbFiQY62","RiCK (feat. Warhol.SS)","RiCK (feat. Warhol.SS)","CASTRO,Warhol.SS",2023-03-24,169001,0,spotify:user:,2023-03-24T04:00:00Z,"chicago rap,plugg,underground hip hop,vapor trap,viral rap",0.795,0.563,0,-4.774,0,0.258,0.209,0.0000793,0.109,0.843,140.047,4
5nK2Nmo5cNHB7FeBddWWTq,"4lph4e07jjlKkioG1bQx95,7pDkjftAxiFHomWsPNkapS,7BMccF0hQFBpP6417k1OtQ,5LhTec3c7dcqBvpLRWbMcf","Szechuan Capital","Szechuan Capital","Meyhem Lauren,DJ Muggs,Action Bronson,Madlib",2023-03-24,303575,0,spotify:user:,2023-03-24T04:00:00Z,"alternative hip hop,boom bap,hardcore hip hop,queens hip hop,underground hip hop,turntablism,east coast hip hop,escape room,hip hop,nyc rap,rap,abstract hip hop,psychedelic hip hop",0.552,0.834,8,-4.684,1,0.369,0.0903,0.000123,0.52,0.7,70.073,4
1pExjTeIPJsPj26mpJOofO,"4IprNlQiJZUUJhDl0fL2SL","Where Would I Be","Recovery","Quando Rondo",2023-03-24,122623,0,spotify:user:,2023-03-24T04:00:00Z,"melodic rap,southern hip hop,trap",0.672,0.539,2,-7.89,1,0.151,0.292,0,0.182,0.401,144.15,4
25d7Trux92YqeS1iZpa0TN,"04zbRSHjzlQYvV31SW7qZ4","OUT THE WINDOW","GENERATIONAL CURSE","ICECOLDBISHOP",2023-03-24,236680,0,spotify:user:,2023-03-24T04:00:00Z,"indie hip hop",0.85,0.685,6,-4.417,1,0.0968,0.0999,0,0.302,0.634,146.051,4
