Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,94,spotify:user:,2023-03-24T14:50:20Z,"nigerian pop,dance pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
4P9Q0GojKVXpRTJCaL3kyy,"06HL4z0CvFAxyc27GXpf02","All Of The Girls You Loved Before","All Of The Girls You Loved Before","Taylor Swift",2019-08-23,221407,84,spotify:user:,2023-03-24T14:50:20Z,"pop",0.718,0.467,2,-9.66,1,0.0398,0.707,0.0000692,0.126,0.396,95.96,3
0V3wPSX9ygBnCm8psDIegu,"06HL4z0CvFAxyc27GXpf02","Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,93,spotify:user:,2023-03-24T14:50:20Z,"pop",0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,4
59hBR0BCtJsfIbV9VzCVAp,"1oSPZhvZMIrWW5I41kPkkY","Set Me Free Pt.2","Set Me Free Pt.2","Jimin",2023-03-17,200929,86,spotify:user:,2023-03-24T14:50:20Z,"",0.585,0.815,0,-4.165,0,0.0565,0.115,0,0.124,0.564,132.09,4
0NZPBYD5qbEWRs3PrGiRkT,"2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J","Unholy (feat. Kim Petras)","Gloria","Sam Smith,Kim Petras",2023-01-27,156943,85,spotify:user:,2023-03-24T14:50:20Z,"pop,uk pop,dance pop,electropop,post-teen pop,transpop",0.712,0.463,2,-7.399,1,0.0797,0.011,0.00000296,0.301,0.206,131.199,4
2LBqCSwhJGcFQeTHMVGwy3,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-24,260253,89,spotify:user:,2023-03-24T14:50:20Z,"canadian contemporary r&b,canadian pop,pop",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
4uUG5RXrOk84mYEfFvj3cK,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb","I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,94,spotify:user:,2023-03-24T14:50:20Z,"big room,dance pop,edm,pop,pop dance,post-teen pop",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
3tt9i3Hhzq84dPS8H7iSiJ,"0tmwSHipWxN12fsoLcFU3B","La Bachata","2000","Manuel Turizo",2023-03-17,162637,70,spotify:user:,2023-03-24T14:50:20Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
55ZATsjPlTeSTNJOuW90pW,"07PdYoE4jVRF6Ut40GgVSP,4yEIQ0lJDgUEfsuYx3Gsmr","Shorty Party","Shorty Party","Cartel De Santa,La Kelly",2023-03-04,265000,88,spotify:user:,2023-03-24T14:50:20Z,"latin hip hop,mexican hip hop",0.928,0.468,2,-8.196,1,0.364,0.328,0.00000427,0.0986,0.47,96.006,4
78Sw5GDo6AlGwTwanjXbGh,"5y8tKLUfMvliMe8IKamR32","Here With Me","Here With Me","d4vd",2022-09-22,242484,93,spotify:user:,2023-03-24T14:50:20Z,"bedroom pop",0.574,0.469,4,-8.209,1,0.0254,0.534,0.0000921,0.128,0.288,132.023,4
1zsPaEkglFvxjAhrM8yhpr,"1i8SpTcr7yvPOmcqrbnVXY,2LRoIwlKmHjgvigdNGBHNo","Hey Mor","OzuTochi","Ozuna,Feid",2022-10-07,196600,90,spotify:user:,2023-03-24T14:50:20Z,"puerto rican pop,reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano",0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
1Y3LN4zO1Edc2EluIoSPJN,"5XKFrudbV4IiuE5WuTPRmT,7o2ZQYM7nTsaVdkXY38UAA","Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,92,spotify:user:,2023-03-24T14:50:20Z,"gen z singer-songwriter,pop,alt z",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
7K3BhSpAxZBznislvUMVtn,"4oUHIQIBe0LHzYfvXNW4QM","Last Night","One Thing At A Time","Morgan Wallen",2023-03-03,163854,84,spotify:user:,2023-03-24T14:50:20Z,"contemporary country",0.492,0.675,6,-5.456,1,0.0389,0.467,0,0.142,0.478,203.759,4
2mpoNBkngUEwnaKoBhZ0vl,"12GqGscKJx3aE4t07u7eVZ,0elWFr7TW8piilVRYJUe4P","PRC","PRC","Peso Pluma,Natanael Cano",2023-01-23,184066,91,spotify:user:,2023-03-24T14:50:20Z,"sad sierreno,corrido,corridos tumbados,musica mexicana,nueva musica mexicana,sierreno",0.784,0.826,7,-6.34,0,0.0538,0.0965,0.0000709,0.123,0.893,138.078,3
1lRtH4FszTrwwlK5gTSbXO,"0elWFr7TW8piilVRYJUe4P,12GqGscKJx3aE4t07u7eVZ,6Sbl0NT50roqWvy746MfVf","AMG","AMG","Natanael Cano,Peso Pluma,Gabito Ballesteros",2022-11-24,174942,91,spotify:user:,2023-03-24T14:50:20Z,"corrido,corridos tumbados,musica mexicana,nueva musica mexicana,sad sierreno,sierreno",0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,3
5mHdCZtVyb4DcJw8799hZp,"5KKpBU5eC2tJDzf0wmlRp2,12Zk1DFhCbHY6v3xep2ZjI","Escapism.","My 21st Century Blues","RAYE,070 Shake",2023-02-03,272373,80,spotify:user:,2023-03-24T14:50:20Z,"dance pop,pop,uk contemporary r&b,new jersey rap",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
65FftemJ1DbbZ45DUfHJXE,"6HvZYsbFfjnjFrWF950C9d","OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,92,spotify:user:,2023-03-24T14:50:20Z,"k-pop,k-pop girl group",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
0PB0O24JqAuNdOAFVJljMS,"5XJDexmWFLWOkjOEjOVX3e,4q3ewBCX7sLwd24euuV69X","Coco Chanel","3MEN2 KBRN","Eladio Carrion,Bad Bunny",2023-03-17,208125,83,spotify:user:,2023-03-24T14:50:20Z,"trap boricua,trap latino,trap triste,urbano latino,reggaeton",0.683,0.764,2,-5.995,1,0.0441,0.0427,0,0.0963,0.137,149.949,4
7MXVkk9YMctZqd1Srtv4MB,"1Xyo4u8uXC1ZmMpatF05PJ,4tZwfgrHOc3mvqYlEYSvVi","Starboy","Starboy","The Weeknd,Daft Punk",2016-11-25,230453,91,spotify:user:,2023-03-24T14:50:20Z,"canadian contemporary r&b,canadian pop,pop,electro,filter house",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
