Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
73ZWAySu4UX5LkpCM6zjYh,"3Ru5n2T3JIrjnSZhf2rinv","CHRONICALLY CAUTIOUS","CHRONICALLY CAUTIOUS","Braden Bales",2023-02-24,119571,75,spotify:user:,2023-03-24T16:09:48Z,"",0.698,0.581,1,-4.33,1,0.155,0.262,0,0.166,0.865,139.89,4
1DmW5Ep6ywYwxc2HMT5BG6,"49aaHxvAJ0tCh0F15OnwIl","Tattoo","Tattoo","Loreen",2023-02-25,183374,81,spotify:user:,2023-03-24T16:09:48Z,"electropop,europop,swedish pop",0.545,0.779,3,-6.235,0,0.0751,0.243,0.00000166,0.123,0.303,150.002,4
2AaaE0qvFWtyT8srKNfRhH,"5LcNPa8f8bRmZqELgoRFkN","Komang","Komang","Raim Laode",2022-08-17,222706,85,spotify:user:,2023-03-24T16:09:48Z,"",0.696,0.412,7,-8.547,1,0.027,0.415,0.0000616,0.1,0.349,133.913,4
1oOamzG57yPWa5PTxXguDt,"5YgOA27qcu8nSl1lp5ektj","missin something","orange blood","Zach Templar",2023-02-02,145833,72,spotify:user:,2023-03-24T16:09:48Z,"",0.626,0.535,9,-4.901,0,0.0289,0.71,0.00000176,0.109,0.358,143.851,3
2RUcwyW74Sv4VracHFrKdh,"1oSPZhvZMIrWW5I41kPkkY","Promise","Promise","Jimin",2018-12-31,151011,81,spotify:user:,2023-03-24T16:09:48Z,"",0.692,0.534,2,-7.155,1,0.0433,0.83,0.00000557,0.238,0.739,88.964,4
24MMjyA3NLqCsDJfsn51eg,"74RGMjbSsFv5RLj8wVx9Yv,6nAMu7pGqdwUSsGMZPUvSk,1i31OYo0s5VoMCaMRJFZkJ","Mi Amor","Mi Amor","Sharn,40k,The Paul",2022-09-30,203048,76,spotify:user:,2023-03-24T16:09:48Z,"",0.637,0.703,4,-5.297,0,0.0789,0.53,0.00000423,0.11,0.553,81.99,4
2OrucC3HEPmZpkaQ05Nx0V,"6hxcqtqpmf08pTDkffU5xx,2jjSx5EpZwv9iBAgFkGWPh,1wxPItEzr7U7rGSMPqZ25r","novocaine","unfortunately yours,","GenriX,CORBAL,Shiloh Dynasty",2023-01-13,195605,73,spotify:user:,2023-03-24T16:09:48Z,"lo-fi chill,sad lo-fi",0.608,0.311,4,-11.255,0,0.154,0.592,0,0.174,0.426,180.362,4
0JmnkIqdlnUzPaf8sqBRs3,"1U1el3k54VvEUzo3ybLPlM","Moonlight","Red Moon In Venus","Kali Uchis",2023-03-03,187723,77,spotify:user:,2023-03-24T16:09:48Z,"colombian pop,pop",0.642,0.706,7,-6.872,0,0.052,0.518,0,0.25,0.896,136.851,4
4W4fNrZYkobj539TOWsLO2,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Die For You (with Ariana Grande) - Remix","Starboy (Deluxe)","The Weeknd,Ariana Grande",2023-03-14,232857,74,spotify:user:,2023-03-24T16:09:48Z,"canadian contemporary r&b,canadian pop,pop,dance pop",0.575,0.5,1,-7.594,0,0.0707,0.227,0,0.335,0.506,67.033,4
4uqJelb9THHmJ3OCohg4ZJ,"0uGWkZRPp1Urk77XBrPBsZ,2CKOmarVWvWqkNWUatHCex","Nosso Quadro","Nosso Quadro","AgroPlay,Ana Castela",2023-02-02,173698,78,spotify:user:,2023-03-24T16:09:48Z,"sertanejo pop,funk rj",0.691,0.708,9,-4.821,1,0.195,0.338,0,0.311,0.602,160.018,4
2bdVgAQgosGUJoViVDNeOV,"3pc0bOVB5whxmD50W79wwO","LIMBO","GABRIEL","keshi",2022-03-25,212784,82,spotify:user:,2023-03-24T16:09:48Z,"chill r&b,pop",0.577,0.366,8,-11.792,1,0.0368,0.879,0.0000776,0.137,0.0841,129.923,4
